timestamp,spot_open,spot_high,spot_low,spot_close,spot_volume,ce_open,ce_high,ce_low,ce_close,ce_volume,ce_iv,ce_oi,ce_strike,pe_open,pe_high,pe_low,pe_close,pe_volume,pe_iv,pe_oi,pe_strike
2024-02-08 14:24:00 +0530,21721.4,21733.2,21721.4,21725.85,0.0,9.55,11.85,9.55,10.4,7269400,20.709705,29677600,21750.0,51.3,51.3,41.55,45.9,3758950,33.524808,8967800,21750.0
2024-02-08 14:25:00 +0530,21725.9,21729.25,21724.8,21727.1,0.0,10.6,11.15,10.2,10.95,4255450,21.037726,29677600,21750.0,45.0,46.55,42.8,44.3,1864700,32.877463,8967800,21750.0
2024-02-08 14:26:00 +0530,21727.1,21733.25,21713.8,21716.7,0.0,32.85,34.0,23.45,25.9,6263350,16.751234,14131700,21700.0,16.0,26.3,14.9,23.9,14824400,33.131096,21499400,21700.0
2024-02-08 14:27:00 +0530,21717.5,21717.5,21707.65,21713.3,0.0,25.4,25.9,19.5,22.6,8724850,15.658079,14131700,21700.0,23.35,32.0,23.35,26.65,17119100,34.794162,21499400,21700.0
2024-02-08 14:28:00 +0530,21712.65,21725.0,21712.55,21721.25,0.0,23.4,29.75,23.0,27.9,6364850,15.641888,14131700,21700.0,25.35,26.0,16.65,18.4,11389900,29.596692,21499400,21700.0
2024-02-08 14:29:00 +0530,21720.75,21724.5,21716.45,21716.45,0.0,28.35,29.25,24.25,24.4,3544050,15.594758,15582450,21700.0,18.75,21.25,17.4,20.75,7210900,30.35534,19546150,21700.0
2024-02-08 14:30:00 +0530,21716.9,21718.25,21712.7,21712.75,0.0,24.1,25.4,20.95,20.95,4965350,14.553219,15582450,21700.0,20.05,24.7,19.75,24.7,9283250,33.249438,19546150,21700.0
2024-02-08 14:31:00 +0530,21713.75,21714.35,21697.0,21698.0,0.0,21.0,22.1,16.0,17.1,10799750,19.587119,15582450,21700.0,25.25,34.65,23.45,31.3,19049400,33.160733,19546150,21700.0
2024-02-08 14:32:00 +0530,21698.25,21707.8,21698.25,21702.15,0.0,17.75,19.4,16.85,18.25,8041350,18.724218,18950750,21700.0,29.7,31.4,25.65,27.9,9148250,31.974666,17860600,21700.0
2024-02-08 14:33:00 +0530,21702.15,21711.1,21700.4,21710.75,0.0,18.15,21.25,18.0,20.9,5957250,16.369908,18950750,21700.0,28.0,28.95,21.55,21.85,8259950,29.928146,17860600,21700.0
2024-02-08 14:34:00 +0530,21711.65,21715.45,21706.45,21707.8,0.0,20.75,21.95,17.75,19.4,5899250,16.833184,18950750,21700.0,22.3,25.65,19.45,22.75,9596950,29.731963,17860600,21700.0
2024-02-08 14:35:00 +0530,21707.8,21709.6,21697.7,21698.15,0.0,19.0,19.3,15.0,15.05,7320650,17.896925,20158150,21700.0,23.0,30.6,22.5,30.6,8642200,33.631333,18988100,21700.0
