Date,Breakout Type,Entry Time,Underlying Entry Price,OR High,OR Low,OR Width,Gap %,Inside Day,Outside Day,Relation PDH/PDL,Days To Expiry,Day Of Week,Max Continuation,Max Adverse,Sustained,Failed,ATR,ADX,RSI,VWAP Dist,ATM MFE %,ATM MAE %,ATM Peak Time,ATM Time To Peak Min,ATM Decay %,ATM Gamma Eff,ATM Expansion Quality Score,ATM Peak Exhaustion Score,ATM Expected Opportunity Score,ATM Time To 50%,ATM Time Above 50%,ATM Exit Hybrid Return %,ATM Exit Hybrid Capture Eff,ATM Exit Hybrid Retention Ratio,ATM Exit Hybrid Lost Profit,Volatility Regime,Trend Regime,Auction Archetype,Failure Reason
2025-08-07,bullish,2025-08-07 14:51:00 +0530,24532.3,24533.75,24460.0508,73.69919999999911,0.0,false,false,inside,4,Thursday,101.89919999999984,14.899999999997817,true,false,,,,,272.69,-99.63,2025-08-07 14:55:00 +0530,4,99.9,2.676,75,100,100,3,2,-26.2,-0.0961,0.0,40.5,normal,mean_reverting,open_auction,none
2025-08-08,bearish,2025-08-08 09:34:00 +0530,24510.8,24585.5,24514.3496,71.15039999999863,0.0,false,false,inside,4,Friday,173.29999999999927,22.150000000001455,true,false,,,,,15.79,-16.83,2025-08-08 10:52:00 +0530,78,28.17,0.091,33,100,0,,0,8.33,0.5277,0.5277,8.95,normal,trending,open_test_drive,none
2025-08-11,bullish,2025-08-11 10:25:00 +0530,24433.85,24428.4004,24347.4492,80.95119999999952,0.0,false,false,inside,4,Monday,166.99960000000283,31.75,true,false,,,,,20.42,-33.89,2025-08-11 11:35:00 +0530,70,45.1,0.122,26,100,0,,0,2.85,0.1396,0.1396,22.5,normal,trending,open_auction,none
2025-08-12,bullish,2025-08-12 09:32:00 +0530,24634.9,24627.9004,24530.75,97.15039999999863,0.0,false,false,inside,4,Tuesday,67.69959999999992,169.24960000000283,true,false,,,,,56.41,-12.83,2025-08-12 10:31:00 +0530,59,44.27,0.833,39,100,61,58,0,3.86,0.0684,0.0684,46.3,normal,trending,open_test_drive,none
2025-08-12,bearish,2025-08-12 14:16:00 +0530,24529.15,24627.9004,24530.75,97.15039999999863,0.0,false,false,inside,4,Tuesday,63.49960000000283,33.14999999999782,true,false,,,,,7.26,-34.69,2025-08-12 14:18:00 +0530,2,39.11,0.114,49,100,0,,0,-25.1,-3.456,0.0,27.85,normal,trending,open_test_drive,none
2025-08-13,bullish,2025-08-13 09:59:00 +0530,24613.6,24599.5508,24543.1992,56.35160000000178,0.0,false,false,inside,4,Wednesday,50.950800000002346,74.69999999999709,true,false,,,,,23.44,-39.35,2025-08-13 10:26:00 +0530,27,50.87,0.46,31,100,0,,0,0.06,0.0024,0.0024,20.8,normal,trending,open_auction,none
2025-08-14,bullish,2025-08-14 09:46:00 +0530,24668.5,24664.3496,24604.5996,59.75,0.0,false,false,inside,4,Thursday,5.150399999998626,71.59960000000137,false,true,,,,,9.68,-99.92,2025-08-14 10:10:00 +0530,24,99.93,1.88,25,100,0,,0,-34.01,-3.5126,0.0,26.85,normal,mean_reverting,open_auction,vwap_reclaimed
2025-08-18,bullish,2025-08-18 09:31:00 +0530,24979.7,24968.8496,24884.3008,84.54880000000048,0.0,false,false,inside,4,Monday,42.29999999999927,126.85039999999935,false,true,,,,,16.86,-18.42,2025-08-18 09:50:00 +0530,19,30.19,0.398,20,100,0,,0,0.82,0.0485,0.0485,22.55,normal,mean_reverting,open_test_drive,vwap_reclaimed
2025-08-18,bearish,2025-08-18 12:14:00 +0530,24883.4,24968.8496,24884.3008,84.54880000000048,0.0,false,false,inside,4,Monday,30.55040000000008,75.84999999999854,false,true,,,,,3.85,-45.33,2025-08-18 12:15:00 +0530,1,47.36,0.126,26,100,0,,0,-12.02,-3.125,0.0,19.8,normal,mean_reverting,open_test_drive,vwap_reclaimed
2025-08-19,bearish,2025-08-19 09:44:00 +0530,24883.2,24936.4492,24886.9492,49.5,0.0,false,false,inside,4,Tuesday,9.250800000001618,129.4503999999979,false,true,,,,,4.31,-39.5,2025-08-19 09:45:00 +0530,1,42.0,0.466,35,100,0,,0,-17.09,-3.961,0.0,19.1,normal,trending,open_auction,vwap_reclaimed
